epoch,loss,seconds
1,1.01833437,2.1
2,0.96140854,3.9
3,0.86845893,5.7
4,0.71110367,7.6
5,0.54989490,9.4
6,0.48828307,11.2
7,0.45631912,13.1
8,0.43893355,14.9
9,0.42834505,16.7
10,0.43346998,18.5
11,0.42789795,20.4
12,0.41140588,22.1
13,0.40313148,24.0
14,0.40343965,25.8
15,0.39854125,27.6
16,0.40326082,29.6
17,0.39048808,31.4
18,0.40492790,33.3
19,0.39946780,35.2
20,0.37993879,37.0
21,0.36708724,38.8
22,0.34745719,40.7
23,0.39557848,42.5
24,0.36858413,44.3
25,0.35253088,46.2
26,0.36502370,48.0
27,0.39601741,49.8
28,0.32589671,51.6
29,0.34558637,53.5
30,0.33806236,55.3
31,0.31499233,57.1
32,0.29924049,58.9
33,0.29434845,60.7
34,0.31389796,62.5
35,0.27622805,64.4
36,0.27845503,66.2
37,0.25029233,68.0
38,0.24806195,69.8
39,0.23928450,71.6
40,0.22422887,73.4
41,0.23374143,75.2
42,0.22548667,77.0
43,0.23031547,78.8
44,0.23022686,80.6
45,0.20624379,82.4
46,0.19121784,84.1
47,0.21566632,85.9
48,0.18921162,87.7
49,0.17843890,89.5
50,0.18454357,91.3
51,0.18418971,93.1
52,0.18771162,94.9
53,0.17576627,96.7
54,0.17231054,98.5
55,0.16035494,100.3
56,0.15888270,102.1
57,0.16588289,103.9
58,0.16787578,105.7
59,0.14699656,107.4
60,0.15766386,109.3
61,0.14517568,111.0
62,0.13735197,112.8
63,0.13859521,114.6
64,0.13855009,116.4
65,0.13925973,118.2
66,0.14036711,120.0
67,0.13190579,121.8
68,0.13281676,123.6
69,0.12940484,125.3
70,0.13596274,127.1
71,0.12761217,128.9
72,0.12870213,130.7
73,0.12651125,132.5
74,0.12435233,134.3
75,0.12231751,136.1
76,0.12236073,137.9
77,0.12059635,139.7
78,0.12194566,141.5
79,0.11698305,143.3
80,0.11925912,145.1
81,0.11677759,146.9
82,0.11637027,148.8
83,0.12218726,150.6
84,0.11597215,152.4
85,0.12282173,154.1
86,0.11776261,155.9
87,0.11639729,157.7
88,0.11880268,159.5
89,0.11111967,161.3
90,0.11966420,163.1
91,0.11313297,164.9
92,0.11634776,166.7
93,0.11131758,168.5
94,0.11488134,170.2
95,0.11585094,172.1
96,0.11152631,173.8
97,0.11034289,175.6
98,0.11518874,177.4
99,0.10688394,179.2
100,0.11348442,181.0
101,0.10725425,182.8
102,0.10800632,184.6
103,0.10840717,186.4
104,0.10699289,188.1
105,0.10663403,189.9
106,0.10547846,191.7
107,0.10438077,193.5
108,0.10725947,195.3
109,0.10736930,197.1
110,0.10587698,198.9
111,0.10640759,200.6
112,0.10463614,202.4
113,0.10490459,204.2
114,0.10429307,206.0
115,0.10386615,207.8
116,0.10521601,209.6
117,0.10403767,211.5
118,0.10546792,213.3
119,0.10541057,215.1
120,0.10314429,216.9
121,0.10150225,218.8
122,0.10382736,220.7
123,0.10394988,222.5
124,0.10469740,224.3
125,0.10163202,226.2
126,0.10184698,227.9
127,0.10172799,229.7
128,0.10082632,231.5
129,0.10203403,233.4
130,0.10120117,235.2
131,0.10175759,237.0
132,0.10055487,238.8
133,0.10088463,240.7
134,0.09890043,242.5
135,0.09840570,244.3
136,0.10000183,246.1
137,0.10050704,247.9
138,0.10147766,249.8
139,0.09945203,251.6
140,0.09839011,253.4
141,0.09868588,255.2
142,0.10290767,257.0
143,0.09838360,258.7
144,0.09807862,260.5
145,0.09810545,262.3
146,0.10034626,264.1
147,0.09842134,265.9
148,0.09798687,267.7
149,0.09989597,269.5
150,0.09828172,271.2
151,0.09820911,273.0
152,0.09625059,274.8
153,0.09823202,276.6
154,0.09685124,278.4
155,0.09670184,280.2
156,0.09841598,282.0
157,0.09894290,283.8
158,0.09594977,285.6
159,0.09621448,287.5
160,0.09517873,289.3
161,0.09643766,291.1
162,0.09624491,292.9
163,0.09597425,294.8
164,0.09643597,296.6
165,0.09562969,298.4
166,0.09406196,300.2
167,0.09544281,302.0
168,0.09375429,303.8
169,0.09636801,305.6
170,0.09326390,307.4
171,0.09340595,309.2
172,0.09370820,310.9
173,0.09399247,312.7
174,0.09395636,314.5
175,0.09333119,316.3
176,0.09209624,318.1
177,0.09376735,319.9
178,0.09243268,321.6
179,0.09356216,323.4
180,0.09303433,325.2
181,0.09141585,327.0
182,0.09286133,328.8
183,0.09236665,330.6
184,0.09248408,332.5
185,0.09282202,334.3
186,0.09142929,336.1
187,0.09105819,337.9
188,0.09143705,339.8
189,0.09056777,341.6
190,0.09001177,343.5
191,0.09179358,345.3
192,0.09100446,347.2
193,0.08868172,349.0
194,0.08864099,350.9
195,0.08916445,352.7
196,0.08902416,354.6
197,0.08800221,356.4
198,0.08815272,358.2
199,0.08793859,360.1
200,0.08729967,361.9
201,0.08826506,363.7
202,0.08964569,365.5
203,0.08717701,367.3
204,0.08907930,369.1
205,0.08773633,370.8
206,0.08835562,372.6
207,0.08713245,374.4
208,0.08532999,376.2
209,0.08665740,378.0
210,0.08618228,379.8
211,0.08629460,381.6
212,0.08735866,383.4
213,0.08498211,385.2
214,0.08442345,387.0
215,0.08395803,388.9
216,0.08535036,390.7
217,0.08369146,392.6
218,0.08362114,394.6
219,0.08501892,396.4
220,0.08215531,398.2
221,0.08258112,400.0
222,0.08350990,401.9
223,0.08302974,403.7
224,0.08226608,405.5
225,0.08483043,407.3
226,0.08101514,409.2
227,0.08121386,411.0
228,0.08217685,412.8
229,0.08136303,414.6
230,0.08087395,416.5
231,0.08111822,418.3
232,0.08067210,420.1
233,0.07989160,422.0
234,0.07997835,423.9
235,0.08056282,425.7
236,0.07885321,427.5
237,0.07924586,429.4
238,0.07792512,431.3
239,0.07712885,433.0
240,0.07697239,434.8
241,0.07775400,436.6
242,0.07797540,438.4
243,0.07700682,440.2
244,0.07688970,442.0
245,0.07573781,443.8
246,0.07739815,445.6
247,0.07576173,447.3
248,0.07491050,449.1
249,0.07390601,450.9
250,0.07453977,452.7
251,0.07359056,454.5
252,0.07391864,456.3
253,0.07415068,458.1
254,0.07324541,459.9
255,0.07249956,461.7
256,0.07300318,463.5
257,0.07226398,465.3
258,0.07135713,467.1
259,0.07230850,468.9
260,0.07152791,470.6
261,0.07146158,472.4
262,0.07071033,474.2
263,0.06968579,476.0
264,0.06920331,477.8
265,0.06998274,479.6
266,0.07092833,481.4
267,0.06786674,483.2
268,0.06886674,485.0
269,0.06884033,486.9
270,0.06684234,488.7
271,0.06697634,490.5
272,0.06690972,492.4
273,0.06578975,494.2
274,0.06586864,496.0
275,0.06499903,497.9
276,0.06469613,499.8
277,0.06333955,501.6
278,0.06308177,503.4
279,0.06374860,505.3
280,0.06174044,507.0
281,0.06284905,508.9
282,0.06218646,510.7
283,0.06158869,512.5
284,0.06121545,514.3
285,0.06242019,516.1
286,0.05938304,517.9
287,0.05851800,519.7
288,0.05705263,521.5
289,0.05785184,523.3
290,0.05677062,525.0
291,0.05664278,526.9
292,0.05769087,528.7
293,0.05638631,530.5
294,0.05459484,532.4
295,0.05507940,534.2
296,0.05407460,535.9
297,0.05269573,537.7
298,0.05439431,539.5
299,0.05279085,541.3
300,0.05354240,543.2
301,0.05230192,545.0
302,0.05213012,546.8
303,0.04955240,548.6
304,0.04981365,550.4
305,0.04895520,552.2
306,0.04718474,554.0
