epoch,loss,seconds
1,0.89077483,8.2
2,0.58879667,16.3
3,0.52233820,24.7
4,0.51080298,32.8
5,0.50480295,41.6
6,0.50143254,50.2
7,0.49794133,58.3
8,0.49526071,67.1
9,0.49130187,75.0
10,0.48890426,83.1
11,0.48567899,91.4
12,0.48343059,99.4
13,0.47949893,107.4
14,0.47553668,115.9
15,0.47002833,123.7
16,0.46347549,131.7
17,0.45266288,139.5
18,0.44749617,147.4
19,0.43952394,155.2
20,0.43413604,163.4
21,0.43227404,171.5
22,0.42996423,179.7
23,0.42341108,187.6
24,0.43388233,195.7
25,0.44425743,203.4
26,0.43939382,211.6
27,0.43450451,219.7
28,0.44516201,227.7
29,0.46436839,235.6
30,0.44093696,243.3
31,0.44358125,251.3
32,0.43889408,259.2
33,0.45358863,267.3
34,0.44448163,275.3
35,0.43535342,283.5
36,0.43470341,292.1
37,0.43054742,300.4
38,0.43128606,308.4
39,0.43804539,316.4
40,0.43953166,324.9
41,0.44204895,333.7
42,0.45859179,341.8
43,0.42699680,350.0
44,0.41897507,358.8
45,0.43710450,367.1
46,0.41676302,375.1
47,0.43385725,383.4
48,0.43188581,391.6
49,0.41347914,399.8
50,0.41855631,407.9
51,0.43343253,416.1
52,0.42236826,424.2
53,0.41725990,432.2
54,0.41570050,440.3
55,0.41299418,449.0
56,0.41067451,457.3
57,0.39550847,465.3
58,0.40119860,473.6
59,0.40368665,482.0
60,0.39674918,489.9
61,0.38846026,498.8
62,0.39968451,507.4
63,0.39938751,515.5
64,0.39597325,523.6
65,0.39878963,531.9
66,0.38787391,540.4
67,0.38058814,548.6
68,0.38230889,556.8
69,0.38941696,565.0
70,0.37819290,573.3
71,0.38012069,581.3
72,0.38110548,589.4
73,0.36985857,597.5
74,0.36522960,606.0
75,0.37023809,614.4
76,0.37426094,622.8
77,0.35875173,630.8
78,0.36026365,638.9
79,0.36030500,647.0
80,0.36019656,655.4
81,0.35133668,663.4
82,0.35556086,671.4
83,0.34319672,679.4
84,0.33483124,687.4
85,0.35138420,695.6
86,0.33799640,705.1
87,0.33412239,713.3
88,0.33394163,721.4
89,0.32799250,729.6
90,0.32098504,737.8
91,0.31817783,746.1
92,0.30823475,754.2
93,0.32180681,762.8
94,0.30664710,771.0
95,0.31127976,779.6
96,0.30302108,787.6
97,0.30258212,795.9
98,0.30471263,804.4
99,0.29445059,812.7
100,0.28865433,820.9
101,0.28344732,829.0
102,0.27943232,837.0
103,0.26953880,845.4
104,0.27111388,853.8
105,0.27283250,862.4
106,0.26550142,870.7
107,0.26821985,879.0
108,0.25679282,887.1
109,0.26675888,895.2
110,0.25800556,903.4
111,0.25369251,911.5
112,0.24205159,919.6
113,0.23780804,927.9
114,0.23612904,936.0
115,0.23218379,944.3
116,0.23147779,952.8
117,0.23146202,961.8
118,0.23215154,970.3
119,0.21929156,978.5
120,0.22528332,986.8
121,0.22033536,994.7
122,0.21773893,1002.9
123,0.21843455,1011.3
124,0.21317317,1019.5
125,0.21039409,1027.7
126,0.20753413,1036.1
127,0.20753746,1044.1
128,0.19335492,1052.2
129,0.19969262,1060.4
130,0.19978474,1068.7
131,0.19230002,1078.0
132,0.20492840,1086.6
133,0.18785916,1094.9
134,0.18699573,1103.1
135,0.18176193,1111.7
136,0.18621786,1119.9
137,0.18101173,1127.9
138,0.19061667,1136.1
139,0.17509614,1144.2
140,0.17613714,1152.5
141,0.16903669,1160.6
142,0.17333240,1168.9
143,0.16918864,1177.0
144,0.16882409,1185.4
145,0.16955059,1193.6
146,0.16679091,1201.9
147,0.16287963,1210.2
148,0.16455780,1218.4
149,0.15575710,1226.7
150,0.15546777,1234.9
151,0.15208468,1242.9
152,0.15481952,1251.1
153,0.15115574,1259.4
154,0.16133301,1267.9
155,0.14658205,1276.2
156,0.14661042,1284.4
157,0.14318577,1292.5
158,0.14711622,1300.7
159,0.13970489,1308.8
160,0.14710444,1316.8
161,0.14442993,1324.9
162,0.14111819,1333.4
163,0.13534580,1341.5
164,0.13630647,1349.7
165,0.13846056,1357.9
166,0.13115070,1366.2
167,0.13056340,1374.4
168,0.12728983,1382.6
169,0.12542603,1390.9
170,0.12876716,1399.4
171,0.12625885,1407.9
172,0.13420110,1416.3
173,0.12536164,1424.8
174,0.12099028,1433.3
175,0.12544656,1441.6
176,0.11867234,1449.8
177,0.12124573,1458.1
178,0.11388769,1466.2
179,0.12168098,1474.8
180,0.11142947,1483.8
181,0.11464652,1492.2
182,0.11546581,1500.5
183,0.11506559,1508.7
184,0.10955620,1517.1
185,0.11035963,1525.5
186,0.11112789,1534.1
187,0.11279926,1542.6
188,0.10917473,1551.0
189,0.10581639,1559.1
190,0.10777753,1567.6
191,0.10277676,1575.8
192,0.10488884,1583.9
193,0.10101592,1591.9
194,0.09604827,1600.2
195,0.10637421,1609.0
196,0.10000867,1617.1
197,0.09629930,1625.3
198,0.09907671,1633.4
199,0.09476995,1641.4
200,0.09338331,1649.7
201,0.09288707,1657.9
202,0.09592833,1666.1
203,0.08875038,1674.1
204,0.09330088,1682.2
205,0.09067106,1690.3
206,0.09388658,1698.3
207,0.08723960,1706.5
208,0.08620706,1715.3
209,0.09268914,1723.6
210,0.08228783,1732.0
211,0.08392999,1740.0
212,0.08560871,1747.9
213,0.08240421,1755.8
214,0.08154577,1764.0
215,0.08687927,1771.9
216,0.08422720,1780.0
217,0.08636942,1788.2
218,0.08528386,1796.2
219,0.08177186,1804.6
220,0.07938509,1812.7
221,0.07969909,1820.9
222,0.07535834,1828.8
223,0.07425259,1836.6
224,0.07502566,1844.5
225,0.07480387,1852.5
226,0.07117669,1860.5
227,0.07373182,1868.7
228,0.07169456,1877.0
229,0.07210656,1884.9
230,0.07425189,1892.9
231,0.07156187,1901.0
232,0.07468195,1908.8
233,0.07013397,1917.2
234,0.06735179,1925.1
235,0.06869921,1933.1
236,0.06877625,1941.1
237,0.06759890,1949.1
238,0.06740754,1957.2
239,0.06629315,1965.4
240,0.06622092,1973.7
241,0.06434669,1981.9
242,0.06704836,1989.9
243,0.06484685,1998.1
244,0.06426262,2005.9
245,0.06451864,2014.3
246,0.06194213,2022.4
247,0.06082687,2030.8
248,0.05731882,2039.2
249,0.06234068,2047.9
250,0.06068235,2055.9
251,0.06128648,2063.9
252,0.06171320,2071.9
253,0.06198257,2080.1
254,0.05916138,2088.2
255,0.06619022,2096.3
256,0.06532749,2104.3
257,0.05860381,2112.2
258,0.05882643,2120.5
259,0.05669796,2128.5
260,0.05777096,2136.5
261,0.05885470,2144.8
262,0.05855769,2152.7
263,0.05563541,2160.5
264,0.05546809,2168.5
265,0.05373257,2176.4
266,0.05714217,2184.4
267,0.05328132,2192.6
268,0.05348720,2200.3
269,0.05241609,2208.8
270,0.05603038,2216.6
271,0.05425381,2224.5
272,0.05774089,2232.5
273,0.05246257,2240.6
274,0.04998413,2248.8
275,0.05334747,2256.7
276,0.04974020,2264.5
277,0.04899973,2272.5
278,0.05350831,2280.5
279,0.04847960,2288.5
280,0.04895429,2296.7
281,0.04739155,2304.7
282,0.05513659,2312.8
283,0.04743631,2320.7
284,0.05094068,2328.9
285,0.04832254,2336.7
286,0.05280153,2344.7
287,0.04660921,2352.6
288,0.04536435,2360.5
289,0.04805101,2368.5
290,0.04483181,2376.5
291,0.04620027,2384.9
292,0.04329724,2392.7
293,0.05116237,2401.1
294,0.04378287,2409.0
295,0.04436306,2416.9
296,0.04204032,2424.9
297,0.04410554,2432.9
298,0.04187926,2441.0
299,0.04176972,2449.0
300,0.04080772,2457.4
301,0.04159440,2465.3
302,0.04284550,2473.5
303,0.04122770,2481.4
304,0.04196602,2489.3
305,0.03920544,2497.3
306,0.04038810,2505.6
307,0.03997237,2513.5
308,0.04046977,2521.3
309,0.03885005,2529.3
310,0.03930344,2537.8
311,0.03795437,2545.8
312,0.03879404,2553.7
313,0.04006329,2561.6
314,0.03530764,2569.7
315,0.03817158,2577.7
316,0.03826620,2585.8
317,0.03688307,2593.9
318,0.03764348,2601.8
319,0.03744661,2609.7
320,0.03661163,2617.7
321,0.04042420,2625.5
322,0.03814798,2633.7
323,0.03599974,2641.5
324,0.03801321,2649.3
325,0.03772712,2657.3
326,0.03577345,2665.3
327,0.03505593,2673.5
328,0.03566789,2681.6
329,0.03805519,2689.3
330,0.03424513,2697.3
331,0.03671393,2705.3
332,0.03396719,2713.6
333,0.03506800,2722.1
334,0.03608396,2729.9
335,0.03391885,2738.3
336,0.03668735,2746.1
337,0.03443428,2754.2
338,0.03548735,2762.5
339,0.03351753,2770.4
340,0.03497696,2778.5
341,0.03305519,2786.4
342,0.03429315,2795.0
343,0.03272112,2803.4
344,0.03176177,2811.6
345,0.03149998,2819.8
346,0.03290647,2828.0
347,0.03315816,2835.8
348,0.03618935,2844.0
349,0.03245134,2851.9
350,0.03123692,2859.6
351,0.03277369,2867.6
352,0.03222312,2875.4
353,0.03171672,2883.2
354,0.03309764,2891.2
355,0.03169688,2899.2
356,0.02856731,2907.4
357,0.02873014,2915.2
358,0.03225975,2923.3
359,0.03224650,2931.3
360,0.02961729,2939.1
361,0.02936919,2946.9
362,0.02869193,2954.8
